yh [-],xl [-],z[-],c_m [user_defined],c_s [user_defined],vfrac_liqwater [-],vfrac_swe [-],v_liqwater [mm*mm*m],v_swe [mm*mm*m],v_air [mm*mm*m]
40,9,0,0,0.141758823073791,0,1,0,32.0384461353624,5
41,0,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,1,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,2,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,3,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,4,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,5,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,6,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,7,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,8,0,0,0.092986289379455,0,1,0,32.0384461353624,5
41,9,0,0,0.092986289379455,0,1,0,32.0384461353624,5
42,0,0,0,0.092986289379455,0,1,0,32.0384461353624,5
42,1,0,0,0.092986289379455,0,1,0,32.0384461353624,5
